,Unnamed: 0,Endo_id,name,uniprot,ensembl,binding_hormones,anatomical structure
219,219,ENR01084,FGF-BP,Q14512,ENST00000382333,"['ENH00072', 'ENH00073', 'ENH00297', 'ENH00651', 'ENH00656']","['ENC00210', 'ENC00125']"
220,220,ENR01085,CD2,P06729,ENST00000369478,"['ENH00668', 'ENH00476']",['ENC00287']
221,221,ENR01102,IL4R type ll,empty0,empty0,"['ENH00252', 'ENH00253']",['ENC00379']
222,222,ENR01103,IL-2R (high affinity),empty0,empty0,['ENH00325'],[]
223,223,ENR01104,integrin alpha-9/beta-1,empty0,empty0,"['ENH00287', 'ENH00462', 'ENH00453']",[]
224,224,ENR01105,integrin alpha-5/beta-1,empty0,empty0,"['ENH00446', 'ENH00748', 'ENH00767', 'ENH00454', 'ENH00575']",['ENC00244']
225,225,ENR01106,VLA-4,empty0,empty0,['ENH00454'],[]
226,226,ENR01107,IL-12R-beta1,P42701,ENST00000430026,['ENH00259'],[]
227,227,ENR01113,IgE Fc receptor gamma-subunit,P30273,ENST00000367992,[],"['ENC00219', 'ENC00247', 'ENC00292', 'ENC00013', 'ENC00078', 'ENC00251', 'ENC00276']"
228,228,ENR01114,"IgE Fc receptor, subunit beta",Q01362,ENST00000440896,[],"['ENC00078', 'ENC00251']"
229,229,ENR01115,IgG Fc receptor I,P12314,ENST00000444948,['ENH00732'],['ENC00247']
230,230,ENR01116,CD160 antigen,O95971,ENST00000401557,[],"['ENC00292', 'ENC00289']"
231,231,ENR01117,B-cell receptor CD22,P20273,ENST00000419549,[],['ENC00233']
232,232,ENR01118,GluR-3,P42263,ENST00000371266,['ENH00734'],['ENC00020']
233,233,ENR01120,interleukin 31 receptor A,Q2TBA1,ENST00000451314,[],['ENC00247']
234,234,ENR01127,CD7,P09564,empty0,"['ENH00740', 'ENH00476']","['ENC00389', 'ENC00292', 'ENC00293', 'ENC00233', 'ENC00287']"
235,235,ENR01128,CD45,P08575,ENST00000442510,['ENH00476'],['ENC00389']
236,236,ENR01129,Tim-3,Q8TDQ0,ENST00000307851,['ENH00749'],[]
237,237,ENR01133,CD3,empty0,empty0,['ENH00476'],[]
238,238,ENR01136,CEA,P06731,ENST00000446434,['ENH00476'],[]
239,239,ENR01137,1B2 glycolipid,empty0,empty0,['ENH00476'],[]
240,240,ENR01138,MAC-2BP,empty0,empty0,['ENH00476'],[]
241,241,ENR01140,CA125,Q8WXI7,ENST00000397910,['ENH00476'],[]
242,242,ENR01141,HBGp82,empty0,empty0,['ENH00476'],[]
243,243,ENR01142,pre-BCR,empty0,empty0,['ENH00476'],[]
244,244,ENR01143,integrin alpha-7/beta-1,empty0,empty0,"['ENH00826', 'ENH00823', 'ENH00832', 'ENH00454', 'ENH00476', 'ENH00825', 'ENH00827']",[]
245,245,ENR01144,complement receptor 3,Q16581,ENST00000307637,['ENH00476'],"['ENC00284', 'ENC00364', 'ENC00074', 'ENC00027', 'ENC00360', 'ENC00280']"
246,246,ENR01151,integrin alpha-2/beta-1,empty0,empty0,"['ENH00826', 'ENH00825', 'ENH00827', 'ENH00836']",[]
247,247,ENR01153,CEACAM-1 isoform A,P13688,ENST00000403461,[],['ENC00217']
248,248,ENR01154,CEACAM-1 isoform B,P13688,ENST00000403461,[],['ENC00217']
249,249,ENR01155,CEACAM-1 isoform C,P13688,ENST00000403461,[],['ENC00217']
250,250,ENR01157,CEACAM-6,P40199,ENST00000412062,[],['ENC00217']
251,251,ENR01158,PSGL-1,Q14242,ENST00000388962,"['ENH00931', 'ENH00951']","['ENC00217', 'ENC00276', 'ENC00247', 'ENC00389', 'ENC00248']"
252,252,ENR01159,integrin alpha-6/beta-1,empty0,empty0,"['ENH00826', 'ENH00827', 'ENH00822', 'ENH00832', 'ENH00825', 'ENH00823', 'ENH00824', 'ENH00582']",['ENC00472']
253,253,ENR01160,terd,empty0,empty0,[],['ENC00247']
254,254,ENR01161,leukosialin,P16150,ENST00000436527,[],"['ENC00293', 'ENC00287', 'ENC00217']"
255,255,ENR01163,CD74,P04233,ENST00000377795,['ENH00809'],[]
256,256,ENR01164,integrin alpha-V/beta-5,empty0,empty0,"['ENH00451', 'ENH00582', 'ENH00576']",['ENC00063']
257,257,ENR01165,dystroglycan,Q14118,ENST00000452317,"['ENH00827', 'ENH00825', 'ENH00826', 'ENH00795']",[]
258,258,ENR01166,syndecan,empty0,empty0,"['ENH00978', 'ENH00825', 'ENH00979', 'ENH00976', 'ENH00977']",[]
259,259,ENR01167,agrin,O00468,empty0,"['ENH00826', 'ENH00827']",[]
260,260,ENR01168,integrin alpha-6/beta-4,empty0,empty0,"['ENH00825', 'ENH00823', 'ENH00822', 'ENH00826']",['ENC00222']
261,261,ENR01169,SR-BI,Q8WTV0,ENST00000415380,"['ENH00543', 'ENH00417', 'ENH00542', 'ENH00545']",['ENC00249']
262,262,ENR01170,netrin receptor UNC5A,Q6ZN44,ENST00000329542,"['ENH00841', 'ENH00843']",[]
263,263,ENR01171,netrin receptor UNC5B isoform 1,Q8IZJ11,ENST00000373192,['ENH00841'],[]
264,264,ENR01172,netrin receptor UNC5B isoform 2,Q8IZJ12,ENST00000373192,['ENH00841'],[]
265,265,ENR01173,netrin receptor UNC5C,O95185,ENST00000453304,['ENH00841'],[]
266,266,ENR01174,netrin receptor UNC5D,Q6UXZ4,ENST00000453357,['ENH00841'],[]
267,267,ENR01175,neogenin,Q92859,ENST00000379842,['ENH00841'],['ENC00020']
268,268,ENR01180,integrin alpha-8/beta-1,empty0,empty0,"['ENH00451', 'ENH00453', 'ENH00454', 'ENH00462', 'ENH00871']",['ENC00473']
269,269,ENR01182,neurokinin-2 receptor,P21452,ENST00000414492,"['ENH00872', 'ENH00622', 'ENH00054', 'ENH00621', 'ENH00623']",[]
270,270,ENR01184,RLN3R1,Q9NSD7,ENST00000330120,['ENH00899'],[]
271,271,ENR01185,RLN3R2,Q8TDU9,ENST00000368318,"['ENH00899', 'ENH00915']",[]
272,272,ENR01186,relaxin receptor 1,Q9HBX9,ENST00000448688,['ENH00899'],[]
273,273,ENR01189,mucin-1 isoform 7,P159417,ENST00000457295,['ENH00926'],[]
274,274,ENR01191,ALCAM,Q13740,ENST00000389927,['ENH00928'],"['ENC00018', 'ENC00318', 'ENC00020', 'ENC00231', 'ENC00222', 'ENC00389', 'ENC00082', 'ENC00263', 'ENC00521', 'ENC00360', 'ENC00247', 'ENC00233', 'ENC00287']"
275,275,ENR01192,CD6,P30203,ENST00000452451,['ENH00928'],"['ENC00287', 'ENC00293', 'ENC00233', 'ENC00276']"
276,276,ENR01193,P-selectin,P16109,ENST00000458599,['ENH00933'],['ENC00150']
277,277,ENR01195,E-selectin,P16581,ENST00000367782,['ENH00933'],['ENC00150']
278,278,ENR01196,SLAMF6,Q96DU3,ENST00000368059,[],['ENC00293']
279,279,ENR01197,SLAMF7,Q9NQ25,ENST00000458602,[],['ENC00293']
280,280,ENR01198,ADAM10,empty0,empty0,"['ENH00067', 'ENH00442']",[]
281,281,ENR01200,CD9 antigen,P21926,ENST00000425469,"['ENH00317', 'ENH00315', 'ENH00314']",[]
282,282,ENR01201,insulin receptor isoform short,P062132,empty0,['ENH00096'],[]
283,283,ENR01202,TCCR,Q6UWB1,ENST00000263379,"['ENH00949', 'ENH00950', 'ENH00585']","['ENC00389', 'ENC00130', 'ENC00306', 'ENC00287', 'ENC00233', 'ENC00247', 'ENC00248']"
284,284,ENR01203,SIGLEC-7,Q9Y286,ENST00000317643,[],"['ENC00228', 'ENC00418', 'ENC00292', 'ENC00219', 'ENC00217', 'ENC00389', 'ENC00248', 'ENC00247', 'ENC00287', 'ENC00074', 'ENC00112', 'ENC00130', 'ENC00538']"
285,285,ENR01204,cubilin,O60494,ENST00000438254,"['ENH00953', 'ENH00542']",['ENC00278']
286,286,ENR01207,nephrin,O60500,ENST00000443172,[],['ENC00396']
287,287,ENR01208,podocalyxin-like protein 1,O00592,ENST00000446198,[],['ENC00396']
288,288,ENR01209,ROBO1,Q9Y6N7,ENST00000436010,"['ENH00976', 'ENH00977', 'ENH00979']","['ENC00144', 'ENC00217', 'ENC00246', 'ENC00112', 'ENC00020', 'ENC00357']"
289,289,ENR01210,ROBO2,Q9HCK4,ENST00000403211,['ENH00977'],"['ENC00020', 'ENC00097', 'ENC00357']"
290,290,ENR01212,glypican 1,P35052,ENST00000455111,"['ENH00977', 'ENH00978', 'ENH00737', 'ENH00231']","['ENC00018', 'ENC00379', 'ENC00022', 'ENC00076', 'ENC00097', 'ENC00122', 'ENC00020']"
291,291,ENR01213,ephrin-A5,P52803,ENST00000333274,[],['ENC00020']
292,292,ENR01215,SCN11A,Q9UI33,ENST00000456224,['ENH00301'],[]
293,293,ENR01217,FPRL2,P25089,ENST00000339223,[],['ENC00247']
294,294,ENR01218,oxoeicosanoid receptor 1,Q8TDS5,ENST00000378661,"['ENH01045', 'ENH01047']","['ENC00219', 'ENC00217', 'ENC00074', 'ENC00063']"
295,295,ENR01219,GABAA receptor,empty0,empty0,['ENH00246'],"['ENC00265', 'ENC00555']"
296,296,ENR01223,EAAT3,P43005,ENST00000422398,"['ENH01055', 'ENH01053', 'ENH01054']","['ENC00134', 'ENC00050', 'ENC00271']"
297,297,ENR01225,EAAT5,O00341,ENST00000371494,['ENH01054'],['ENC00164']
298,298,ENR01226,Mas,P30554,empty0,['ENH01063'],[]
299,299,ENR01227,angiotensin IV receptor,empty0,empty0,['ENH00415'],[]
300,300,ENR01228,guanylyl cyclase,empty0,empty0,['ENH00439'],[]
301,301,ENR01246,IL-1Rrp2,Q9HB29,ENST00000441515,"['ENH01085', 'ENH01086']",[]
302,302,ENR01247,IL-28R-alpha-v1,Q8IU571,ENST00000428464,"['ENH00699', 'ENH00697', 'ENH00698']","['ENC00048', 'ENC00122', 'ENC00145', 'ENC00140', 'ENC00115', 'ENC00102']"
303,303,ENR01248,IL-28R-alpha-v2,Q8IU572,ENST00000428464,[],"['ENC00048', 'ENC00115', 'ENC00140', 'ENC00122', 'ENC00145', 'ENC00102']"
304,304,ENR01251,Interleukin-28 receptor alpha chain,Q8IU574,ENST00000428464,['ENH00699'],[]
305,305,ENR01271,CHRNA1-1,P027082,ENST00000448239,['ENH00226'],['ENC00122']
306,306,ENR01272,Gamma-aminobutyric acid receptor subunit alpha-2,P47869,ENST00000381620,['ENH00246'],[]
307,307,ENR01273,Gamma-aminobutyric acid receptor subunit alpha-4,P48169,ENST00000264318,['ENH00246'],[]
308,308,ENR01274,Gamma-aminobutyric acid receptor subunit alpha-5,P31644,ENST00000400081,['ENH00246'],[]
309,309,ENR01275,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445,ENST00000274545,['ENH00246'],[]
310,310,ENR01276,Gamma-aminobutyric acid receptor subunit gamma-2,P18507,ENST00000414552,['ENH00246'],[]
311,311,ENR01277,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928,ENST00000451330,['ENH00246'],[]
312,312,ENR01278,Gamma-aminobutyric acid receptor subunit rho-2,P28476,ENST00000402938,['ENH00246'],[]
313,313,ENR01279,Gamma-aminobutyric acid receptor subunit theta,Q9UN88,ENST00000370306,['ENH00246'],[]
314,314,ENR01280,Gamma-aminobutyric acid receptor subunit pi,O00591,ENST00000442540,['ENH00246'],[]
315,315,ENR01281,Gamma-aminobutyric acid receptor subunit rho-3,A8MPY1,empty0,['ENH00246'],[]
316,316,ENR01282,MRC2,Q9UBG0,ENST00000446119,['ENH00943'],"['ENC00283', 'ENC00020', 'ENC00112', 'ENC00074', 'ENC00063', 'ENC00102', 'ENC00130', 'ENC00144', 'ENC00184', 'ENC00231', 'ENC00216']"
317,317,ENR01298,Gamma-aminobutyric acid receptor,empty0,empty0,['ENH00246'],[]
318,318,ENR01299,Gamma-aminobutyric acid receptor A,empty0,empty0,['ENH00246'],['ENC00027']
319,319,ENR01300,Gamma-aminobutyric acid receptor B,empty0,empty0,['ENH00246'],['ENC00027']
320,320,ENR01301,Gamma-aminobutyric acid receptor C,empty0,empty0,['ENH00246'],['ENC00027']
321,321,ENR01302,GPR44,empty0,empty0,['ENH00649'],[]
322,322,ENR01304,putative SLPI receptor,empty0,empty0,['ENH00962'],[]
323,323,ENR01316,Annexin-2 receptor,Q3ZCQ2,ENST00000314890,[],"['ENC00320', 'ENC00397']"
324,324,ENR01321,Lysophosphatidic acid receptor 4,Q99677,ENST00000373301,['ENH01113'],"['ENC00097', 'ENC00020', 'ENC00048', 'ENC00127', 'ENC00140', 'ENC00115', 'ENC00184', 'ENC00130', 'ENC00144', 'ENC00102', 'ENC00063', 'ENC00122']"
325,325,ENR01326,Lysophosphatidic acid receptor 5,Q9H1C0,ENST00000431922,['ENH01113'],"['ENC00048', 'ENC00074', 'ENC00127', 'ENC00132', 'ENC00112', 'ENC00184', 'ENC00130', 'ENC00578']"
326,326,ENR01335,IL-2R,empty0,empty0,[],"['ENC00233', 'ENC00287']"
327,327,ENR01336,LFA-1,empty0,empty0,['ENH00271'],[]
328,328,ENR01342,Anaplastic lymphoma kinase,Q9UM73,ENST00000389048,['ENH00309'],[]
329,329,ENR01344,integrin alpha-IIb/beta-3,empty0,empty0,"['ENH00765', 'ENH00446']",[]
330,330,ENR01345,Autocrine motility factor receptor,Q9UKV5,ENST00000290649,['ENH00806'],[]
331,331,ENR01348,Klotho beta-like protein,Q86Z14,ENST00000257408,"['ENH00305', 'ENH00304']",[]
332,332,ENR01349,alpha-Klotho,Q9UEF7,ENST00000380099,['ENH00227'],"['ENC00604', 'ENC00278']"
333,333,ENR01350,Secretin receptor,P47872,empty0,['ENH00163'],['ENC00262']
334,334,ENR01351,IL-20R2,Q6UXL0,ENST00000329582,"['ENH00701', 'ENH00702']",[]
335,335,ENR01352,IL-20R1,Q9UHF4,empty0,"['ENH00701', 'ENH00702', 'ENH00894']",[]
336,336,ENR01353,Complement receptor 3,empty0,empty0,['ENH00711'],[]
337,337,ENR01354,Sialic acid-binding Ig-like lectin 5,O15389,ENST00000429354,['ENH00215'],[]
338,338,ENR01355,alpha-bungarotoxin receptor,empty0,empty0,['ENH00752'],[]
339,339,ENR01356,Syndecan-4,P31431,empty0,['ENH00756'],['ENC00284']
340,340,ENR00005,fibroblast growth factor receptor-like 1,Q8N441,ENST00000398484,['ENH00073'],"['ENC00048', 'ENC00063', 'ENC00074', 'ENC00539']"
341,341,ENR00047,sialoadhesin,Q9BZZ2,ENST00000419548,['ENH00933'],['ENC00216']
342,342,ENR00057,GABA-BR1A,Q9UBS51,ENST00000458518,['ENH00246'],[]
343,343,ENR00058,RAR,"['P10276', 'P10826', 'P13631']",empty0,['ENH00743'],"['ENC00250', 'ENC00177', 'ENC00216']"
344,344,ENR00061,bradykinin receptor B1,P46663,ENST00000216629,"['ENH01007', 'ENH01065', 'ENH00062']","['ENC00093', 'ENC00217', 'ENC00600']"
345,345,ENR00068,5-ht-5 receptor,P47898,ENST00000287907,['ENH00166'],"['ENC00027', 'ENC00266', 'ENC00265', 'ENC00181', 'ENC00539', 'ENC00540', 'ENC00050', 'ENC00545', 'ENC00262']"
346,346,ENR00079,TRH-R,P34981,ENST00000311762,['ENH00122'],"['ENC00177', 'ENC00001', 'ENC00178', 'ENC00053']"
347,347,ENR00085,progesterone receptor,P06401,ENST00000325455,['ENH00049'],"['ENC00166', 'ENC00037', 'ENC00076', 'ENC00361', 'ENC00097', 'ENC00216']"
348,348,ENR00089,alpha 1 adrenoceptor,"['P35348', 'P35368', 'P25100']",empty0,"['ENH00043', 'ENH00022']",['ENC00009']
349,349,ENR00090,alpha 2 adrenoceptor,"['P08913', 'P18089', 'P18825']",empty0,"['ENH00043', 'ENH00022']",[]
350,350,ENR00093,ER-alpha:ER-beta,"['P033721', 'Q927311']",empty0,['ENH00023'],"['ENC00053', 'ENC00003']"
351,351,ENR00103,GluR delta-1,Q9ULK0,ENST00000404212,['ENH00734'],['ENC00020']
352,352,ENR00114,CHRNA1-2,P02708,ENST00000448239,['ENH00226'],"['ENC00122', 'ENC00020', 'ENC00048', 'ENC00063', 'ENC00578', 'ENC00074', 'ENC00144', 'ENC00011']"
353,353,ENR00115,Acetylcholine receptor subunit beta,P11230,ENST00000306071,['ENH00226'],['ENC00011']
354,354,ENR00116,Acetylcholine receptor subunit gamma,P07510,ENST00000389494,['ENH00226'],['ENC00011']
355,355,ENR00117,Acetylcholine receptor subunit delta,Q07001,ENST00000457943,['ENH00226'],['ENC00011']
356,356,ENR00118,PPARgamma1,P37231,ENST00000455517,"['ENH00807', 'ENH00341']","['ENC00005', 'ENC00221', 'ENC00063', 'ENC00127', 'ENC00018', 'ENC00074', 'ENC00112', 'ENC00048', 'ENC00097', 'ENC00022', 'ENC00128', 'ENC00152', 'ENC00216', 'ENC00130', 'ENC00140', 'ENC00122', 'ENC00020', 'ENC00233', 'ENC00184', 'ENC00055', 'ENC00164', 'ENC00423', 'ENC00287', 'ENC00424', 'ENC00247', 'ENC00150']"
357,357,ENR00122,PPAR beta/delta,Q03181,empty0,['ENH00807'],"['ENC00122', 'ENC00005', 'ENC00063', 'ENC00127', 'ENC00221', 'ENC00578', 'ENC00125', 'ENC00112', 'ENC00020']"
358,358,ENR00123,Gamma-aminobutyric acid receptor subunit beta-1,P18505,ENST00000381582,['ENH00246'],[]
359,359,ENR00124,Gamma-aminobutyric acid receptor subunit alpha-1,P14867,ENST00000444819,['ENH00246'],[]
360,360,ENR00125,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3,ENST00000295452,['ENH00246'],[]
361,361,ENR00126,Gamma-aminobutyric acid receptor subunit delta,O14764,ENST00000378585,['ENH00246'],[]
362,362,ENR00127,Gamma-aminobutyric acid receptor subunit rho-1,P24046,ENST00000457434,['ENH00246'],[]
363,363,ENR00147,CD28,P10747,ENST00000458610,[],['ENC00288']
364,364,ENR00152,EphA6,Q9UF33,ENST00000458101,['ENH00844'],"['ENC00020', 'ENC00140']"
365,365,ENR00228,GL-R,P47871,ENST00000400723,['ENH00104'],"['ENC00005', 'ENC00048', 'ENC00063', 'ENC00102', 'ENC00132', 'ENC00127', 'ENC00145', 'ENC00122', 'ENC00249']"
366,366,ENR00263,PRLR,P16471,ENST00000397391,"['ENH00117', 'ENH00111', 'ENH00116']","['ENC00007', 'ENC00062', 'ENC00166', 'ENC00076', 'ENC00140', 'ENC00115', 'ENC00044', 'ENC00189', 'ENC00479', 'ENC00027', 'ENC00020', 'ENC00050', 'ENC00345', 'ENC00556', 'ENC00029', 'ENC00403', 'ENC00361', 'ENC00284', 'ENC00280', 'ENC00164', 'ENC00574', 'ENC00178', 'ENC00125', 'ENC00213', 'ENC00210', 'ENC00435', 'ENC00382', 'ENC00250', 'ENC00326', 'ENC00093', 'ENC00074', 'ENC00048', 'ENC00086', 'ENC00122', 'ENC00249', 'ENC00578', 'ENC00273', 'ENC00490', 'ENC00102', 'ENC00365', 'ENC00414', 'ENC00132', 'ENC00035', 'ENC00417', 'ENC00405', 'ENC00184', 'ENC00063', 'ENC00418', 'ENC00130', 'ENC00144', 'ENC00528', 'ENC00233', 'ENC00276', 'ENC00287', 'ENC00216', 'ENC00097', 'ENC00143', 'ENC00031', 'ENC00246', 'ENC00112', 'ENC00067', 'ENC00119', 'ENC00437', 'ENC00152', 'ENC00542', 'ENC00022', 'ENC00584', 'ENC00055']"
367,367,ENR00265,SLAMF1 long form,Q13291,ENST00000392208,['ENH00952'],"['ENC00287', 'ENC00233', 'ENC00293']"
368,368,ENR00266,CD4,P01730,ENST00000437800,['ENH00476'],[]
369,369,ENR00274,CD72,P21854,ENST00000437813,"['ENH00929', 'ENH00580']","['ENC00102', 'ENC00130', 'ENC00233', 'ENC00536', 'ENC00216', 'ENC00228']"
370,370,ENR00275,LIR-1,Q8NHL6,ENST00000451426,[],"['ENC00233', 'ENC00247', 'ENC00287', 'ENC00292', 'ENC00228']"
371,371,ENR00276,PIR-B,Q9UKJ0,ENST00000457519,[],['ENC00248']
372,372,ENR00277,complement C3d receptor,P20023,ENST00000458541,"['ENH00261', 'ENH00944']","['ENC00233', 'ENC00287', 'ENC00534', 'ENC00284', 'ENC00427', 'ENC00130', 'ENC00535', 'ENC00276', 'ENC00397', 'ENC00251', 'ENC00309', 'ENC00247', 'ENC00293']"
373,373,ENR00279,uPAR1,Q034051,ENST00000340093,['ENH00943'],[]
374,374,ENR00280,CD5,P06127,ENST00000347785,"['ENH00929', 'ENH00930']","['ENC00293', 'ENC00287', 'ENC00233', 'ENC00228', 'ENC00418', 'ENC00307']"
375,375,ENR00282,hLAIR1-1,Q6GTX8,ENST00000456960,[],"['ENC00292', 'ENC00287']"
376,376,ENR00284,SHPS-1-1,P78324,ENST00000400074,['ENH00357'],[]
377,377,ENR00360,5-ht-5BR,empty0,empty0,['ENH00166'],[]
378,378,ENR00361,5-hydroxytryptamine receptor 4,Q13639,ENST00000444006,['ENH00166'],"['ENC00168', 'ENC00169', 'ENC00274', 'ENC00257', 'ENC00258', 'ENC00050', 'ENC00182', 'ENC00275', 'ENC00556', 'ENC00161', 'ENC00134']"
379,379,ENR00394,TP-1,P21731,ENST00000411851,['ENH00337'],[]
380,380,ENR00419,4-1BB,Q07011,ENST00000377507,['ENH00567'],[]
381,381,ENR00420,OX40,P43489,ENST00000453580,['ENH01153'],['ENC00287']
382,382,ENR00424,DcR3,O95407,ENST00000425905,['ENH00691'],[]
383,383,ENR00425,HVEM,Q92956,ENST00000451778,['ENH01149'],[]
384,384,ENR00430,frizzled 2,Q14332,ENST00000315323,[],"['ENC00262', 'ENC00184', 'ENC00221', 'ENC00097', 'ENC00102', 'ENC00062', 'ENC00074', 'ENC00063', 'ENC00122', 'ENC00140', 'ENC00145']"
385,385,ENR00435,PPAR-gamma1,P372312,ENST00000455517,[],"['ENC00004', 'ENC00005', 'ENC00216', 'ENC00184', 'ENC00244', 'ENC00231', 'ENC00171']"
386,386,ENR00440,Smo,Q99835,ENST00000249373,['ENH00531'],[]
387,387,ENR00488,GFR-alpha-3,O60609,ENST00000378362,['ENH00378'],[]
388,388,ENR00489,GFR-alpha-4,Q9GZZ7,ENST00000412824,['ENH00379'],['ENC00145']
389,389,ENR00515,Neuronal acetylcholine receptor subunit beta-2,P17787,empty0,[],['ENC00011']
390,390,ENR00519,frizzled 8,Q9H461,ENST00000374694,['ENH00536'],"['ENC00102', 'ENC00122', 'ENC00063', 'ENC00048']"
391,391,ENR00520,frizzled 7,O75084,ENST00000286201,['ENH00490'],"['ENC00102', 'ENC00062']"
392,392,ENR00535,RAR-alpha,P10276,ENST00000441856,[],['ENC00074']
393,393,ENR00536,IL-13Ralpha,P78552,ENST00000371666,[],['ENC00093']
394,394,ENR00539,Gamma-aminobutyric acid receptor subunit alpha-3,P34903,ENST00000417858,['ENH00246'],[]
395,395,ENR00572,ST2,Q01638,ENST00000447231,['ENH01150'],[]
396,396,ENR00574,GHRH-R,Q02643,ENST00000434774,['ENH00078'],"['ENC00053', 'ENC00002', 'ENC00596']"
397,397,ENR00577,CD38,P28907,ENST00000226279,['ENH00667'],[]
398,398,ENR00579,GLP-1R,P43220,ENST00000373256,"['ENH01121', 'ENH00466']","['ENC00174', 'ENC00102', 'ENC00062', 'ENC00180', 'ENC00580', 'ENC00361']"
399,399,ENR00580,frizzled 4,Q9ULV1,ENST00000309186,"['ENH00528', 'ENH00490']",[]
400,400,ENR00582,OPG,O00300,ENST00000297350,['ENH00409'],"['ENC00096', 'ENC00093']"
401,401,ENR00583,DR5,O14763,ENST00000347739,['ENH00551'],[]
402,402,ENR00584,DR4,O00220,ENST00000221132,['ENH00551'],"['ENC00130', 'ENC00389', 'ENC00127', 'ENC00144']"
403,403,ENR00585,DcR2,Q9UBN6,ENST00000312584,['ENH00551'],[]
404,404,ENR00586,DcR1,O14798,ENST00000397703,['ENH00551'],[]
405,405,ENR00587,MARCO,Q9UEW3,ENST00000412481,"['ENH00673', 'ENH00672']",[]
406,406,ENR00589,TLR8,Q9NR97,ENST00000311912,[],"['ENC00228', 'ENC00248', 'ENC00247', 'ENC00438', 'ENC00216']"
407,407,ENR00590,TLR9,Q9NR96,ENST00000423623,['ENH01089'],"['ENC00130', 'ENC00306', 'ENC00247', 'ENC00228', 'ENC00074', 'ENC00307', 'ENC00217', 'ENC00450', 'ENC00438', 'ENC00364', 'ENC00216']"
408,408,ENR00591,TLR7,Q9NYK1,ENST00000380659,[],"['ENC00020', 'ENC00112', 'ENC00130', 'ENC00132', 'ENC00127', 'ENC00074', 'ENC00247', 'ENC00228', 'ENC00438', 'ENC00216']"
409,409,ENR00592,TLR10,Q9BXR5,ENST00000361424,[],"['ENC00130', 'ENC00306', 'ENC00144', 'ENC00307', 'ENC00074', 'ENC00247', 'ENC00438', 'ENC00216']"
410,410,ENR00595,M-CSF-1-R,P07333,ENST00000394307,"['ENH00306', 'ENH01146']","['ENC00096', 'ENC00018', 'ENC00247', 'ENC00318', 'ENC00324', 'ENC00319']"
411,411,ENR00598,EDAR,Q9UNE0,ENST00000409271,[],"['ENC00074', 'ENC00125', 'ENC00222', 'ENC00210']"
412,412,ENR00599,EpoR,P19235,ENST00000222139,['ENH00068'],[]
413,413,ENR00600,IL-2R (low affinity),P01589,ENST00000447847,['ENH00325'],['ENC00287']
414,414,ENR00602,GFR-alpha-2,O00451,ENST00000306793,"['ENH00376', 'ENH00377', 'ENH00378']","['ENC00020', 'ENC00112']"
415,415,ENR00604,LRP1,Q07954,ENST00000393833,"['ENH00417', 'ENH00965', 'ENH00718']",[]
416,416,ENR00608,IL-12beta2R,Q99665,ENST00000441640,[],"['ENC00292', 'ENC00288']"
417,417,ENR00611,IL-5Ralpha,Q01344,ENST00000456302,['ENH00327'],"['ENC00219', 'ENC00251']"
418,418,ENR00612,trkB,Q16620,ENST00000395882,"['ENH00268', 'ENH00267']",['ENC00563']
419,419,ENR00613,trkC,Q16288,ENST00000394480,['ENH00229'],['ENC00563']
420,420,ENR00614,IL-4Ralpha,P24394,ENST00000449195,"['ENH00252', 'ENH00253']","['ENC00093', 'ENC00287', 'ENC00427', 'ENC00450', 'ENC00364', 'ENC00233']"
421,421,ENR00616,GABA-AR-beta2,P47870,ENST00000393959,['ENH00246'],[]
422,422,ENR00617,TPO-R,P40238,ENST00000413998,['ENH00220'],[]
423,423,ENR00618,IL-9Ralpha,Q01113,ENST00000424344,['ENH00328'],[]
424,424,ENR00619,IL-10R-alpha,Q13651,ENST00000227752,['ENH00237'],"['ENC00130', 'ENC00144', 'ENC00102', 'ENC00122', 'ENC00020', 'ENC00048', 'ENC00063', 'ENC00112', 'ENC00074', 'ENC00247', 'ENC00287', 'ENC00217', 'ENC00233']"
425,425,ENR00620,CD23,P06734,ENST00000394208,['ENH00730'],['ENC00233']
426,426,ENR00621,IL-15R alpha,Q13261,ENST00000453922,['ENH00321'],"['ENC00247', 'ENC00216', 'ENC00222', 'ENC00283', 'ENC00088', 'ENC00244']"
427,427,ENR00622,GluR-1,P42261,ENST00000340592,['ENH00734'],"['ENC00265', 'ENC00266']"
428,428,ENR00623,GRIN2A,Q12879,ENST00000404927,"['ENH00734', 'ENH00685']",[]
429,429,ENR00624,GRIN2B,Q13224,ENST00000279593,"['ENH00734', 'ENH00685']",[]
430,430,ENR00625,GRIN2C,Q14957,ENST00000347612,"['ENH00734', 'ENH00685']",[]
431,431,ENR00626,GRIN1,Q05586,ENST00000371561,"['ENH00734', 'ENH00685']",[]
432,432,ENR00627,AXL,P30530,ENST00000359092,['ENH00283'],[]
433,433,ENR00628,IL-18Rbeta,O95256,ENST00000450855,[],"['ENC00292', 'ENC00287', 'ENC00288']"
434,434,ENR00629,IL-2R gamma chain,P31785,ENST00000456850,[],"['ENC00379', 'ENC00287', 'ENC00233']"
435,435,ENR00631,OSMRbeta,Q99650,ENST00000431988,['ENH00244'],[]
